director_name,actor_1_name,gross
Eric Darnell,Sylvester Stallone,90646554.0
Andrzej Bartkowiak,Jet Li,90577390.0
Bobby Farrelly,Robert Forster,90567722.0
Kenny Ortega,Lucas Grabeel,90556401.0
Joe Pytka,Bill Murray,90443603.0
Robert Schwentke,Bruce Willis,90356857.0
Etan Cohen,Will Ferrell,90353764.0
Chuck Russell,Dwayne Johnson,90341670.0
Clint Eastwood,John Doman,90135191.0
Charles Herman-Wurmfeld,Mary Lynn Rajskub,89808372.0
Alan Taylor,J.K. Simmons,89732035.0
Robert Schwentke,Erika Christensen,89706988.0
Mark Dindal,Eartha Kitt,89296573.0
Wes Craven,Kelly Rutherford,89138076.0
Joseph Kosinski,Morgan Freeman,89021735.0
Robert Luketic,Gerard Butler,88915214.0
Chris Columbus,Logan Lerman,88761720.0
Tom Dey,Bradley Cooper,88658172.0
James Bobin,Bill Cobbs,88625922.0
Kevin Reynolds,Jeanne Tripplehorn,88246220.0
Todd Phillips,Snoop Dogg,88200225.0
Peter Jackson,Michael Imperioli,87965684.0
John Hamburg,Philip Seymour Hoffman,87856565.0
Jon Amiel,Will Patton,87704396.0
Joel Edgerton,Busy Philipps,87542582.0
David Gordon Green,James Franco,87341380.0
Sydney Pollack,Meryl Streep,87100000.0
Darren Lynn Bousman,Emmanuelle Vaugier,87025093.0
David Zucker,George Kennedy,86930411.0
Mark Waters,Tina Fey,86049418.0
Will Gluck,Quvenzhané Wallis,85911262.0
Walt Becker,Bella Thorne,85884815.0
Ric Roman Waugh,Dwayne Johnson,85838192.0
David Ayer,Brad Pitt,85707116.0
Robert Rodriguez,Steve Buscemi,85570368.0
Shawn Levy,Hugh Jackman,85463309.0
Stephen Hillenburg,Scarlett Johansson,85416609.0
Ivan Reitman,Bill Murray,85300000.0
David S. Goyer,Gary Oldman,85276330.0
Tod Williams,Sprague Grayden,84749884.0
Ben Falcone,Gary Cole,84518155.0
Roger Allers,Jon Favreau,84303558.0
Norman Ferguson,Mel Blanc,84300000.0
John R. Leonetti,Alfre Woodard,84263837.0
Glenn Ficarra,Ryan Gosling,84244877.0
Adam McKay,Darcy Donavan,84136909.0
Gary Trousdale,Leonard Nimoy,84037039.0
Nick Cassavetes,Don Johnson,83906114.0
Rob Bowman,Martin Landau,83892374.0
Jonathan Liebesman,Liam Neeson,83640426.0
Tarsem Singh,Henry Cavill,83503161.0
Jim Abrahams,Peter Graves,83400000.0
Eric Darnell,Benedict Cumberbatch,83348920.0
John Lee Hancock,Tom Hanks,83299761.0
Bryan Singer,Tom Cruise,83077470.0
Ang Lee,Jake Gyllenhaal,83025853.0
David Soren,Ryan Reynolds,83024900.0
Barry Levinson,Demi Moore,83000000.0
Robert Luketic,Adam Scott,82931301.0
Alexander Payne,Shailene Woodley,82624961.0
Adam Shankman,Taylor Lautner,82569532.0
Stephen Herek,Alicia Witt,82528097.0
Francis Ford Coppola,Keanu Reeves,82522790.0
Luke Greenfield,Rob Riggle,82389560.0
Brian Levant,Nia Long,82301521.0
Robert Wise,Leonard Nimoy,82300000.0
Gabor Csupo,Josh Hutcherson,82234139.0
Shawn Levy,Roger Rees,82226474.0
Ronny Yu,Katharine Isabelle,82163317.0
Guillermo del Toro,Norman Reedus,81645152.0
Frank Marshall,Paul Walker,81593527.0
Brian Helgeland,Bill Duke,81517441.0
John McTiernan,Alan Rickman,81350242.0
Richard Linklater,Miranda Cosgrove,81257845.0
Hugh Wilson,Steve Guttenberg,81200000.0
Robert Luketic,Kevin Spacey,81159365.0
Brian Levant,James Coburn,81150692.0
Frank Marshall,Dylan Walsh,81022333.0
John A. Davis,Martin Short,80920948.0
Ryan Murphy,James Franco,80574010.0
Frank Coraci,Rosario Dawson,80360866.0
Paul W.S. Anderson,Sanaa Lathan,80281096.0
Tom Vaughan,Treat Williams,80276912.0
Jay Chandrasekhar,Alice Greczyn,80270227.0
Jared Hess,Ana de la Reguera,80197993.0
Doug Liman,Kristen Stewart,80170146.0
Matt Reeves,Mike Vogel,80034302.0
Alex Proyas,Nicolas Cage,79948113.0
Steven Spielberg,Jeremy Irvine,79883359.0
Michael Ritchie,Victor Wong,79817937.0
Neil Burger,Rufus Sewell,79651596.0
John Badham,Matthew Broderick,79568000.0
Peter Chelsom,Emily Osment,79566871.0
Ridley Scott,Tom Skerritt,78900000.0
Harold Becker,Al Pacino,78871513.0
James DeMonaco,Frank Grillo,78845130.0
Francis Ford Coppola,Harrison Ford,78800000.0
Chris Columbus,Peter Dinklage,78747585.0
Brad Silberling,Nicolas Cage,78745923.0
Michael Pressman,Kevin Nash,78656813.0
Anthony Minghella,Colin Firth,78651430.0
Steven Spielberg,Haley Joel Osment,78616689.0
Renny Harlin,LL Cool J,78124377.0
Randall Wallace,Jon Hamm,78120196.0
George Clooney,Bill Murray,78031620.0
Brett Ratner,Matthew Broderick,78009155.0
Steven Spielberg,Toby Jones,77564037.0
Luc Jacquet,Morgan Freeman,77413017.0
Andy Fickman,Bailee Madison,77264926.0
Spike Jonze,Catherine O'Hara,77222184.0
Jonathan Mostow,Matthew McConaughey,77086030.0
James Bobin,Johnny Depp,76846624.0
Anne Fletcher,Judy Greer,76806312.0
Stig Bergqvist,Elizabeth Daily,76501438.0
James Mangold,Tom Cruise,76418654.0
Robert Rodriguez,Quentin Tarantino,76409987.0
Brian De Palma,Robert De Niro,76270454.0
Paul King,Julie Walters,76137505.0
Richard Donner,Julia Roberts,76081498.0
Rob Minkoff,Marsha Thomason,75817994.0
Brett Ratner,Nicolas Cage,75764085.0
Guillermo del Toro,Seth MacFarlane,75754670.0
David Carson,LeVar Burton,75668868.0
Anthony Russo,Todd Stashwick,75604320.0
Mel Gibson,Mhairi Calvey,75600000.0
Ruben Fleischer,Emma Stone,75590286.0
Baltasar Kormákur,Denzel Washington,75573300.0
Oliver Stone,Al Pacino,75530832.0
Robert Redford,Scarlett Johansson,75370763.0
Peter Hewitt,Bill Murray,75367693.0
Taylor Hackford,Bokeem Woodbine,75305995.0
Henry Selick,Jennifer Saunders,75280058.0
Nancy Meyers,Robert De Niro,75274748.0
John Milius,William Smith,75134880.0
Tim Story,Sean Patrick Thomas,75074950.0
Scott Derrickson,Tom Wilkinson,75072454.0
Stefen Fangmeier,Djimon Hounsou,75030163.0
Barbra Streisand,George Carlin,74787599.0
Todd Phillips,Will Ferrell,74608545.0
Jay Russell,Billy Burke,74540762.0
John Singleton,Josh Charles,74484168.0
Tamra Davis,Britney Spears,74377334.0
Ivan Reitman,Harrison Ford,74329966.0
Ethan Coen,Kelly Macdonald,74273505.0
Dennis Dugan,Al Pacino,74158157.0
Frank Miller,Rosario Dawson,74098862.0
Lee Tamahori,Morgan Freeman,74058698.0
Ben Stiller,Milla Jovovich,73999856.0
Martin Scorsese,Chloë Grace Moretz,73820094.0
Joe Roth,Jamie Lee Curtis,73701902.0
Gil Kenan,Steve Buscemi,73661010.0
F. Gary Gray,Gerard Butler,73343413.0
Kevin Greutert,Costas Mandylor,73340268.0
Tim Burton,Catherine O'Hara,73326666.0
Kelly Asbury,Matt Damon,73215310.0
Paul Verhoeven,Greg Grunberg,73209340.0
Roland Emmerich,Channing Tatum,73103784.0
Andrew Stanton,Daryl Sabara,73058679.0
Thor Freudenthal,Don Cheadle,73023275.0
Jon M. Chu,Usher Raymond,73000942.0
Steve Oedekerk,Rob Paulsen,72601713.0
Sydney Pollack,Curtiss Cook,72515360.0
Michael Mann,Wes Studi,72455275.0
Pete Travis,Dennis Quaid,72266306.0
Jim Gillespie,Muse Watson,72219395.0
Tom Shadyac,Sean Young,72217000.0
Barry Sonnenfeld,Delroy Lindo,72077000.0
George Cukor,Jeremy Brett,72000000.0
Mikael Håfström,Drew Powell,71975611.0
Dan Trachtenberg,Bradley Cooper,71897215.0
Kenny Ortega,Misha Gabriel Hamilton,71844424.0
Michael Bay,Scarlett Johansson,71598052.0
Andrés Muschietti,Javier Botet,71588220.0
James DeMonaco,Noel Gugliemi,71519230.0
Alexander Payne,Virginia Madsen,71502303.0
Sharon Maguire,Colin Firth,71500556.0
Dean Parisot,Alan Rickman,71423726.0
John Hamburg,J.K. Simmons,71347010.0
Lasse Hallström,David Lyons,71346930.0
Lasse Hallström,Lena Olin,71309760.0
Keenen Ivory Wayans,Natasha Lyonne,71277420.0
Mark Waters,Martin Short,71148699.0
Frank Oz,Robert De Niro,71069884.0
Andy Fickman,D.B. Woodside,71038190.0
Nick Cassavetes,Denzel Washington,71026631.0
Raja Gosnell,Jacob Tremblay,71017784.0
Bobby Farrelly,Jason Alexander,70836296.0
Ivan Reitman,Natalie Portman,70625986.0
Kimberly Peirce,Chloë Grace Moretz,70533238.0
James McTeigue,Natalie Portman,70496802.0
John Woo,Delroy Lindo,70450000.0
Oliver Stone,Sally Kirkland,70405498.0
Paul W.S. Anderson,Christopher Lambert,70360285.0
John Singleton,Christian Bale,70327868.0
Sylvester Stallone,Sylvester Stallone,70269171.0
Oliver Stone,Nicolas Cage,70236496.0
Adam McKay,Ryan Gosling,70235322.0
Andy Tennant,Matthew McConaughey,70224196.0
Clint Eastwood,Matt Damon,70221374.0
John Whitesell,Chloë Grace Moretz,70163652.0
Reginald Hudlin,John Witherspoon,70100000.0
Quentin Tarantino,David Carradine,70098138.0
Chris Weitz,Christopher Lee,70083519.0
Mike McCoy,Alex Veadov,70011073.0
Oliver Stone,Tom Cruise,70001698.0
Stephen Norrington,Sanaa Lathan,70001065.0
Howard Zieff,Eileen Brennan,69800000.0
Dominic Sena,Hugh Jackman,69772969.0
Colin Higgins,Dolly Parton,69700000.0
Jon Turteltaub,Bruce Willis,69688384.0
Callie Khouri,Ellen Burstyn,69586544.0
Stephen Frears,Keanu Reeves,69400000.0
John McTiernan,Mark Margolis,69304264.0
Keenen Ivory Wayans,Busy Philipps,69148997.0
Stephen Hopkins,Gary Oldman,69102910.0
Jon Turteltaub,Doug E. Doug,68856263.0
Stuart Baird,Oliver Platt,68750000.0
Akiva Schaffer,Will Forte,68701106.0
Breck Eisner,Matthew McConaughey,68642452.0
Thor Freudenthal,Logan Lerman,68558662.0
Todd Phillips,Ethan Suplee,68525609.0
Martin Campbell,Nicholas Lea,68473360.0
Louis Leterrier,Jason Statham,68392047.0
Peyton Reed,Kirsten Dunst,68353550.0
Mark Waters,Madeline Carroll,68218041.0
Les Mayfield,Peter Greene,68208190.0
David R. Ellis,Lin Shaye,68028796.0
Kevin Rodney Sullivan,Bernie Mac,67962333.0
John Glen,Louis Jourdan,67900000.0
Wolfgang Petersen,Kevin Spacey,67823573.0
Judd Apatow,Charlyne Yi,67523385.0
John Moore,Bruce Willis,67344392.0
Andrew Davis,Tim Blake Nelson,67325559.0
Joe Johnston,J.K. Simmons,67286731.0
Francis Ford Coppola,Nicolas Cage,67282841.0
David Wain,Joe Lo Truglio,67266300.0
Christopher Nolan,Al Pacino,67263182.0
Rupert Wyatt,George Kennedy,67262442.0
Thomas Carter,Channing Tatum,67253092.0
Roger Donaldson,Jamie Renée Smith,67155742.0
Andy Tennant,Gerard Butler,67061228.0
Miguel Arteta,Bella Thorne,66950483.0
Kevin Lima,Ioan Gruffudd,66941559.0
Peter Hyams,CCH Pounder,66862068.0
Gore Verbinski,J.K. Simmons,66808615.0
Roger Michell,Sydney Pollack,66790248.0
Rob Zombie,Scout Taylor-Compton,66772256.0
David McNally,Estella Warren,66734992.0
Mike Nichols,Philip Seymour Hoffman,66636385.0
Chris Noonan,Miriam Margolyes,66600000.0
Edward Zwick,Anthony Hopkins,66528842.0
Baltasar Kormákur,J.K. Simmons,66489425.0
Phillip Noyce,Denzel Washington,66488090.0
Rian Johnson,Joseph Gordon-Levitt,66468315.0
David R. Ellis,Krista Allen,66466372.0
Stephen Norrington,Jason Flemyng,66462600.0
Frank Oz,Robert Downey Jr.,66365290.0
Jonathan Levine,Cory Hardrict,66359959.0
Tim Burton,Steve Buscemi,66257002.0
Quentin Tarantino,Vivica A. Fox,66207920.0
Gregory Jacobs,Matt Bomer,66009973.0
Robert Schwentke,Naomi Watts,66002193.0
Angela Robinson,Scoot McNairy,66002004.0
Harold Becker,Bruce Willis,65881014.0
Andy Tennant,Anjelica Huston,65703412.0
Jan de Bont,Gerard Butler,65653758.0
Tyler Perry,John Amos,65623128.0
Luis Llosa,Frank Welker,65557989.0
Peter Weir,Harrison Ford,65500000.0
Dennis Iliadis,Tony Goldwyn,65443270.0
Anne Fletcher,Channing Tatum,65269010.0
Tim Story,Romany Malco,65182182.0
Peter Berg,Liam Neeson,65173160.0
Bryan Singer,Eddie Marsan,65171860.0
Mike Nichols,David Hyde Pierce,65012000.0
Alexander Payne,Hope Davis,65010106.0
Rob Reiner,Shawna Waldron,65000000.0
Jason Moore,Anna Kendrick,64998368.0
Kevin Rodney Sullivan,Harry Lennix,64955956.0
Tarsem Singh,Julia Roberts,64933670.0
Eli Roth,Jay Hernandez,64822138.0
Rob Minkoff,Nathan Lane,64736114.0
Jon M. Chu,Daniel Radcliffe,64685359.0
Curtis Hanson,Kevin Spacey,64604977.0
Josh Trank,Michael Kelly,64572496.0
M. Night Shyamalan,Zooey Deschanel,64505912.0
David Bowers,Hugh Jackman,64459316.0
James DeMonaco,Rhys Wakefield,64423650.0
Gavin O'Connor,Eddie Cahill,64371181.0
Andrew Douglas,Jimmy Bennett,64255243.0
Peter Lepeniotis,Liam Neeson,64238770.0
Chris Weitz,Chazz Palminteri,64172251.0
Burr Steers,Matthew Perry,64149837.0
Jaume Collet-Serra,Robert Ri'chard,64097618.0
Thor Freudenthal,Chloë Grace Moretz,64001297.0
Mike Mitchell,Michael Angarano,63939454.0
Jon Turteltaub,Robert De Niro,63910583.0
Guy Ritchie,Jason Statham,63836891.0
Frank Oz,Tom Selleck,63826569.0
Barbet Schroeder,Ryan Gosling,63749738.0
Brian Helgeland,Heath Ledger,63743713.0
Mike Newell,Julia Roberts,63695760.0
Terence Young,Desmond Llewelyn,63600000.0
Luc Besson,Milla Jovovich,63540020.0
Robert Schwentke,Arliss Howard,63411478.0
Andrey Konchalovskiy,Sylvester Stallone,63408614.0
Robert Iscove,Paul Walker,63319509.0
Tyler Perry,Boris Kodjoe,63231524.0
Nancy Meyers,Kate Winslet,63224849.0
Albert Hughes,Johnny Depp,63196616.0
Mike Judge,Bruce Willis,63071133.0
Ben Falcone,Peter Dinklage,63034755.0
Julie Anne Robinson,Kelly Preston,62933793.0
Nicholas Stoller,Mila Kunis,62877175.0
Lewis Gilbert,Desmond Llewelyn,62700000.0
Sam Mendes,Jake Gyllenhaal,62647540.0
Scott Cooper,Johnny Depp,62563543.0
Neil Jordan,Jim Broadbent,62549000.0
Justin Lin,Amber Stevens West,62494975.0
George Nolfi,Matt Damon,62453315.0
Babak Najafi,Gerard Butler,62401264.0
Måns Mårlind,Theo James,62321039.0
John Glen,Julian Glover,62300000.0
Joe Johnston,Anthony Hopkins,61937495.0
Tobe Hooper,Gunnar Hansen,61718000.0
Patricia Riggen,Jennifer Garner,61693523.0
Gavin Hood,Harrison Ford,61656849.0
Ron Howard,Paddy Considine,61644321.0
Joel Schumacher,Julia Roberts,61490000.0
Harold Ramis,Beverly D'Angelo,61400000.0
Tom Hanks,Tom Hanks,61375788.0
Sylvain White,Chris Brown,61356221.0
Phillip Noyce,Alun Armstrong,61355436.0
Tarsem Singh,Dylan Baker,61280963.0
Brian Robbins,Robert Downey Jr.,61112916.0
Taylor Hackford,Keanu Reeves,60984028.0
Denis Villeneuve,Hugh Jackman,60962878.0
Brian De Palma,Don Cheadle,60874615.0
David McNally,Adam Garcia,60786269.0
Wolfgang Petersen,Jimmy Bennett,60655503.0
David O. Russell,Judy Greer,60652036.0
Brian Levant,Jim Belushi,60573641.0
M. Night Shyamalan,Will Smith,60522097.0
James Algar,Quincy Jones,60507228.0
Gary Fleder,Morgan Freeman,60491560.0
David Dobkin,Fann Wong,60470220.0
Scott Hicks,Blythe Danner,60443237.0
Adam Shankman,Matthew McConaughey,60400856.0
Richard Donner,Bill Murray,60328558.0
Michael McCullers,Tina Fey,60269340.0
Ben Stiller,Matthew Broderick,60154431.0
Terry Zwigoff,Bernie Mac,60057639.0
Roger Donaldson,Natasha Henstridge,60054449.0
Forest Whitaker,Bill Cobbs,60033780.0
Chris Koch,Chris Elliott,60008303.0
Larry Charles,Bono,59992760.0
Jonathan Dayton,Steve Carell,59889948.0
Howard Zieff,Macaulay Culkin,59847242.0
John McTiernan,Shane Black,59735548.0
Randall Wallace,Scott Glenn,59699513.0
Christopher Spencer,Roma Downey,59696176.0
Larry Charles,Sayed Badreya,59617068.0
Mathieu Kassovitz,Robert Downey Jr.,59588068.0
Kirk Jones,Nia Vardalos,59573085.0
Frank Oz,Jon Lovitz,59475623.0
Richard Curtis,Colin Firth,59365105.0
John Moore,Joaquim de Almeida,59068786.0
Guillermo del Toro,James Babson,59035104.0
John Francis Daley,Chris Hemsworth,58879132.0
Ash Brannon,Jeff Bridges,58867694.0
Hugh Hudson,Alice Krige,58800000.0
Gary Winick,Anne Hathaway,58715510.0
Francis Lawrence,Robert Pattinson,58700247.0
Robert Zemeckis,Bruce Willis,58422650.0
Will Gluck,Emma Stone,58401464.0
Matthew O'Callaghan,Will Ferrell,58336565.0
Kevin Costner,Robert Duvall,58328680.0
Don Bluth,Kirsten Dunst,58297830.0
Keenen Ivory Wayans,Chazz Palminteri,58255287.0
Ben Stiller,Adam Scott,58229120.0
Michael Mann,Will Smith,58183966.0
Steven Brill,Antony Starr,58156435.0
Jon M. Chu,Cassie Ventura,58006147.0
Brad Furman,Matthew McConaughey,57981889.0
Peter Chelsom,Lisa Ann Walter,57887882.0
Wes Craven,Robert Pine,57859105.0
Joseph L. Mankiewicz,Martin Landau,57750000.0
John Luessenhop,Paul Walker,57744720.0
Dennis Dugan,Jon Lovitz,57651794.0
Ericson Core,Ray Winstone,57544444.0
John Singleton,John Cothran,57504069.0
Mary Lambert,Miko Hughes,57469179.0
Baz Luhrmann,Jim Broadbent,57386369.0
Edward Zwick,Leonardo DiCaprio,57366262.0
Luis Llosa,Sylvester Stallone,57362581.0
Francis Ford Coppola,Robert De Niro,57300000.0
Jonathan Lynn,Bruce Willis,57262492.0
Steve Carr,John Witherspoon,57176582.0
Cal Brunker,Brendan Fraser,57011847.0
Rob Marshall,Li Gong,57010853.0
Jim Sheridan,Natalie Portman,57003302.0
Tom Dey,Xander Berkeley,56932305.0
Randall Wallace,Leonardo DiCaprio,56876365.0
Woody Allen,Scarlett Johansson,56819082.0
Woody Allen,Kurt Fuller,56816662.0
David Hackl,Julie Benz,56729973.0
Jon Hurwitz,Alyson Hannigan,56724080.0
Stanley Kubrick,Keir Dullea,56715371.0
Steven Zaillian,Robert Duvall,56702901.0
Simon Wells,Mark Addy,56684819.0
Steve McQueen,Quvenzhané Wallis,56667870.0
Amy Heckerling,Donald Faison,56631572.0
Jerry Zucker,Corinna Harney,56607223.0
David F. Sandberg,Billy Burke,56536016.0
George P. Cosmatos,Michael Biehn,56505065.0
Stephen Frears,Roger Allam,56437947.0
Charles Stone III,Leonard Roberts,56398162.0
Thea Sharrock,Sam Claflin,56154094.0
Shawn Levy,Taran Killam,56127162.0
Steve Box,Mark Gatiss,56068547.0
Gary Winick,Jennifer Garner,56044241.0
Chris Butler,Anna Kendrick,55994557.0
Gary Shore,Dominic Cooper,55942830.0
Geoffrey Sax,Deborah Kara Unger,55865715.0
Robert Rodriguez,Johnny Depp,55845943.0
F. Gary Gray,Dwayne Johnson,55808744.0
Will Gluck,Mila Kunis,55802754.0
Luke Greenfield,Louis Lombardi,55762229.0
Jimmy Hayward,Amy Poehler,55747724.0
Tommy Wirkola,Jeremy Renner,55682070.0
Zack Snyder,Abbie Cornish,55673333.0
Stanley Kubrick,Tom Cruise,55637680.0
Brian De Palma,Nicolas Cage,55585389.0
Irvin Kershner,Bernie Casey,55500000.0
David Fincher,Charles S. Dutton,55473600.0
David Koepp,Johnny Depp,55387056.0
Vincent Ward,Robin Williams,55350897.0
Nicholas Stoller,Chloë Grace Moretz,55291815.0
William Shatner,Leonard Nimoy,55210049.0
James Wan,Michael Emerson,55153403.0
D.J. Caruso,Alex Pettyfer,55092830.0
Gary Fleder,Oliver Platt,54997476.0
Mark A.Z. Dippé,Michael Jai White,54967359.0
Michael Caton-Jones,J.K. Simmons,54910560.0
Robert Redford,Adam Baldwin,54800000.0
McG,Tom Hardy,54758461.0
Nima Nourizadeh,Dax Flame,54724272.0
Paul Verhoeven,Jake Busey,54700065.0
Duncan Jones,Jake Gyllenhaal,54696902.0
Garry Marshall,Robert De Niro,54540525.0
Sean Anders,Kevin Spacey,54414716.0
James Watkins,Daniel Radcliffe,54322273.0
Jaume Collet-Serra,Óscar Jaenada,54257433.0
Fede Alvarez,Lou Taylor Pucci,54239856.0
Lasse Hallström,Manish Dayal,54235441.0
Kevin Reynolds,Henry Cavill,54228104.0
Luis Valdez,Esai Morales,54215416.0
Kevin Munroe,Chris Evans,54132596.0
Quentin Tarantino,Craig Stark,54116191.0
James Wong,Chelan Simmons,54098051.0
Sidney Lumet,Charlotte Rampling,54000000.0
Joe Dante,Kirsten Dunst,53955614.0
Henry Joost,Matt Shively,53884821.0
Ron Shelton,Don Johnson,53854588.0
Glenn Ficarra,Will Smith,53846915.0
John Woo,Ivana Milicevic,53789313.0
Peter MacDonald,Sylvester Stallone,53715611.0
Richard LaGravenese,Gerard Butler,53680848.0
James Mangold,Christian Bale,53574088.0
James Wong,Daniel Roebuck,53302314.0
William Brent Bell,Fernanda Andrade,53245055.0
Dean Parisot,Bruce Willis,53215979.0
John Schlesinger,Joe Mantegna,53146000.0
Frank Marshall,Julian Sands,53133888.0
Gary Winick,Vanessa Redgrave,53021560.0
Wes Craven,Johnny Depp,53010000.0
Ted Demme,Johnny Depp,52937130.0
Jonathan Lynn,Fred Gwynne,52929168.0
Brian Robbins,Paul Walker,52885587.0
Michael Bay,Toby Stephens,52822418.0
Luis Mandoki,Robin Wright,52799004.0
Steven Spielberg,Mark Rylance,52792307.0
Adrian Lyne,Olivier Martinez,52752475.0
Mike Newell,Kristin Scott Thomas,52700832.0
Jesse Dylan,Josh Hutcherson,52580895.0
Sam Miller,Leslie Bibb,52543632.0
Tyler Perry,Alicia Witt,52528330.0
Michael Moore,Michael Moore,52481794.0
Oliver Stone,Frank Langella,52474616.0
Antoine Fuqua,Jake Gyllenhaal,52418902.0
Jason Friedberg,Carmen Electra,52407278.0
David S. Goyer,Ryan Reynolds,52397389.0
Alejandro Agresti,Keanu Reeves,52320979.0
Martin Scorsese,Tom Cruise,52293982.0
Rob Reiner,Marshall Bell,52287414.0
Michael Tollin,Alfre Woodard,52277485.0
Leigh Whannell,Lin Shaye,52200504.0
Ava DuVernay,David Oyelowo,52066000.0
Trey Parker,Minnie Driver,52008288.0
Nimród Antal,Topher Grace,52000688.0
Ron Howard,Chris Hemsworth,51889321.0
Brad Anderson,Michael Imperioli,51872378.0
Peter Hedges,Jennifer Garner,51853450.0
Judd Apatow,Adam Sandler,51814190.0
Mark Neveldine,Nicolas Cage,51774002.0
Gus Van Sant,F. Murray Abraham,51768623.0
Andrzej Bartkowiak,Michael Jai White,51758599.0
Tyler Perry,Eric Mendenhall,51697449.0
Marc Forster,Johnny Depp,51676606.0
Milos Forman,Jeffrey Jones,51600000.0
Joe Carnahan,Liam Neeson,51533608.0
Patrick Lussier,Jensen Ackles,51527787.0
James Mangold,Clea DuVall,51475962.0
John Schultz,Brenda Song,51432423.0
Mark Rosman,Dan Byrd,51431160.0
Jean-Jacques Annaud,Bob Hoskins,51396781.0
Rob Cohen,Dennis Quaid,51317350.0
Denzel Washington,Denzel Washington,51304289.0
Joel Schumacher,Gerard Butler,51225796.0
John Glen,Joe Don Baker,51185897.0
James Bobin,Ty Burrell,51178893.0
Peter Segal,George Kennedy,51109400.0
Guy Hamilton,Honor Blackman,51100000.0
John Polson,Robert De Niro,51097664.0
Cory Edwards,Anne Hathaway,51053787.0
Jon Avnet,Joe Mantegna,51045801.0
Garth Jennings,Zooey Deschanel,51019112.0
Joe Wright,Benedict Cumberbatch,50921738.0
Mel Gibson,Rudy Youngblood,50859889.0
Stiles White,Lin Shaye,50820940.0
Sam Fell,Emma Watson,50818750.0
Graham Annable,Isaac Hempstead Wright,50807639.0
Bibo Bergeron,Frank Welker,50802661.0
Richard Attenborough,Ryan O'Neal,50800000.0
Stephen Herek,Lane Smith,50752337.0
Alexander Witt,Milla Jovovich,50740078.0
Irwin Winkler,Ken Howard,50728000.0
Alex Proyas,Michael Wincott,50693162.0
Norman Jewison,Denzel Washington,50668906.0
Russell Mulcahy,Milla Jovovich,50648679.0
Ron Underwood,Charlize Theron,50628009.0
Kenneth Branagh,Colm Feore,50549107.0
R.J. Cutler,Chloë Grace Moretz,50461335.0
Darren Grant,Cicely Tyson,50382128.0
John Glen,Patrick Macnee,50300000.0
Steve Pink,Charlie McDermott,50213619.0
Kevin Donovan,Romany Malco,50189179.0
Iain Softley,Kevin Spacey,50173190.0
Jorge R. Gutiérrez,Channing Tatum,50150619.0
Jonathan Mostow,Kathleen Quinlan,50129186.0
Rupert Wainwright,Nia Long,50041732.0
Will Finn,Steve Buscemi,50026353.0
Geoff Murphy,Peter Greene,50024083.0
John McTiernan,F. Murray Abraham,50016394.0
Gillian Armstrong,Christian Bale,50003300.0
Norman Jewison,Topol,50000000.0
Alan Parker,Andrea Corr,49994804.0
Peter Chelsom,Lilli Lavine,49968653.0
Anthony Hemingway,David Oyelowo,49875589.0
Michael Bay,Dwayne Johnson,49874933.0
Ivan Reitman,Brian Dennehy,49851591.0
David S. Ward,Corbin Bernsen,49797148.0
Baz Luhrmann,Essie Davis,49551662.0
Walt Becker,Robin Williams,49474048.0
Brad Silberling,Will Ferrell,49392095.0
Renny Harlin,Tuesday Knight,49369900.0
Nick Cassavetes,Jason Patric,49185998.0
Preston A. Whitmore II,Mekhi Phifer,49121934.0
Tony Gilroy,Tom Wilkinson,49024969.0
Jean-Marc Vallée,Michiel Huisman,48869340.0
George Tillman Jr.,Robert De Niro,48814909.0
Richard Loncraine,Jimmy Bennett,48745150.0
Julie Taymor,Jim Sturgess,48687346.0
Steve Pink,Joe Lo Truglio,48637684.0
David Cronenberg,Viggo Mortensen,48608664.0
Aaron Seltzer,Alyson Hannigan,48546578.0
John Pasquin,Eileen Brennan,48472213.0
Ron Howard,Channing Tatum,48430355.0
Robin Budd,Roger Rees,48423368.0
Mark Waters,Jon Heder,48291624.0
David Fincher,Deborah Kara Unger,48265581.0
Fred Wolf,Emma Stone,48237389.0
Ridley Scott,Viggo Mortensen,48154732.0
Joel Zwick,Dania Ramirez,48114556.0
Don Bluth,Judith Barsi,48092846.0
Jan de Bont,Jason Patric,48068396.0
Scott Derrickson,Danielle Kotch,48056940.0
Matthew Vaughn,Elizabeth McGovern,48043505.0
Frank Coraci,Jim Broadbent,48008318.0
Jennifer Flackett,Gerard Butler,48006503.0
Cedric Nicolas-Troyan,Chris Hemsworth,47952020.0
Steve Trenbirth,Haley Joel Osment,47887943.0
Simon West,Madeline Carroll,47860214.0
Oliver Stone,Anthony Hopkins,47854731.0
Mennan Yapo,Nia Long,47852604.0
Iain Softley,Gena Rowlands,47806295.0
Jean-Pierre Jeunet,Gary Dourdan,47748610.0
Peter Berg,Dwayne Johnson,47592825.0
Steven Quale,Matt Walsh,47553512.0
Mick Jackson,Don Cheadle,47474112.0
Peter Berg,Jennifer Garner,47456450.0
Ridley Scott,Liam Neeson,47396698.0
Steven Spielberg,Ayelet Zurer,47379090.0
Lana Wachowski,Channing Tatum,47375327.0
Oliver Stone,Demián Bichir,47307550.0
Harald Zwart,Daniel Roebuck,47285499.0
Kirk Jones,Colin Firth,47124400.0
David Dobkin,Robert Downey Jr.,47105085.0
