director_name,gross
Mikael Salomon,19819494.0
Edward Burns,19695819.0
Allen Hughes,19692608.0
Kurt Wimmer,19690984.0
Tom McLoughlin,19472057.0
Gary Chapman,19447478.0
Maurice Joyce,19421271.0
Jacques Perrin,19406406.0
Susan Stroman,19377727.0
George Jackson,19281235.0
John Carl Buechler,19170001.0
Adrienne Shelly,19067631.0
Stuart Beattie,19059018.0
Allen Coulter,19057024.0
Andrew Dominik,18843552.0
John Bonito,18843314.0
Richard Eyre,18800789.0
Julian Jarrold,18663911.0
Asger Leth,18600911.0
Ricky Gervais,18439082.0
Dustin Hoffman,18381787.0
John Sayles,18332126.0
Leon Ichaso,18272447.0
Bart Freundlich,18233399.0
Bradley Parker,18112929.0
Michael Polish,18102720.0
Frank Nissen,18081626.0
Daniel Sackheim,17951431.0
Nanette Burstein,17797316.0
Yimou Zhang,17785858.0
Katt Shea,17757087.0
Stephen Chbosky,17738570.0
Jeff Schaffer,17718223.0
Gonzalo López-Gallego,17683670.0
Patricia Rozema,17655201.0
Kevin Macdonald,17605861.0
Stephen Chow,17593541.0
Michael J. Bassett,17529157.0
Vincenzo Natali,17488266.0
Antony Hoffman,17473245.0
Carter Smith,17427926.0
David Nutter,17411331.0
Mark L. Lester,17375557.0
Ellory Elkayem,17266505.0
Mike Leigh,17232242.0
Kevin Hooks,17100000.0
Don Mancini,17016190.0
John 'Bud' Cardos,17000000.0
E. Elias Merhige,16991581.0
Peter Hastings,16988996.0
Ben Younger,16938179.0
Carol Reed,16800000.0
Janusz Kaminski,16779636.0
Jonas Elmer,16699684.0
Mark Christopher,16574731.0
Stephan Elliott,16459004.0
Peter Kosminsky,16346122.0
Willard Huyck,16295774.0
Joshua Michael Stern,16284360.0
Michael Cristofer,16252765.0
Ariel Vromen,16207974.0
James Bridges,16118077.0
Gregory Widen,16115878.0
Rob McKittrick,16101109.0
Karey Kirkpatrick,16088610.0
Richard Kelly,16046979.0
Adam Marcus,15935068.0
Britt Allcroft,15911333.0
Matt Bettinelli-Olpin,15818967.0
Demian Lichtenstein,15738632.0
Paul Abascal,15712072.0
Sidney J. Furie,15681020.0
Trent Cooper,15655665.0
RZA,15608545.0
Paul Bolger,15519841.0
Josef Rusnak,15500000.0
Nick Gomez,15427192.0
Rob Schmidt,15417771.0
Danny Pang,15279680.0
Melvin Van Peebles,15180000.0
Ed Gass-Donnelly,15152879.0
Joe Chappelle,15126948.0
Wayne Kramer,15099017.0
Steve Barron,15091542.0
Alan Cohn,15062898.0
Mary Harron,15047419.0
Noah Baumbach,14936166.0
Sergio Leone,14900000.0
Bruce Hunt,14888028.0
Lenny Abrahamson,14677654.0
David Robert Mitchell,14673301.0
John Hillcoat,14584322.0
Clive Barker,14564027.0
Tommy Lee Wallace,14400000.0
Elaine May,14375181.0
Joby Harold,14373825.0
Franco Zeffirelli,14348123.0
Rob Hedden,14343976.0
Nick Hamm,14334645.0
Wych Kaosayananda,14294842.0
James Mather,14291570.0
Tom Green,14249005.0
Harmony Korine,14123773.0
Gary Sherman,14114488.0
Ringo Lam,14095303.0
Uli Edel,14032258.0
Michael Gornick,14000000.0
Mark Mylod,13987482.0
Jessy Terrero,13922211.0
Brendan Malloy,13903262.0
Andrew Morahan,13829734.0
Saul Dibb,13823741.0
Miguel Sapochnik,13763130.0
David Palmer,13746550.0
Tuck Tucker,13684949.0
Jesse Vaughan,13571817.0
Gregory Poirier,13558739.0
John Boorman,13491653.0
Richard Shepard,13447113.0
Charles Shyer,13395939.0
Michael O. Sajbel,13391174.0
Atom Egoyan,13385284.0
Ulu Grosbard,13376506.0
Mickey Liddell,13350177.0
Vadim Perelman,13308924.0
Michael Wadleigh,13300000.0
Fred Savage,13235267.0
Steve Rash,13192814.0
Bill Paxton,13103828.0
Damien Chazelle,13092000.0
Tony Bill,13082288.0
Drew Barrymore,13034417.0
Michael Dinner,13019253.0
Fred Walton,12947763.0
Douglas Aarniokoski,12801190.0
Benh Zeitlin,12784397.0
Jerry Zaks,12782508.0
James Isaac,12610731.0
Robert Marcarelli,12610552.0
Bryan Barber,12549485.0
David Mamet,12544847.0
Theodore Witcher,12514138.0
Steve Carver,12200000.0
Jee-woon Kim,12155156.0
Douglas McGrath,12099494.0
Christine Jeffs,12055108.0
Stewart Hendler,11956207.0
Prachya Pinkaew,11905519.0
Newt Arnold,11806119.0
Rusty Cundieff,11797927.0
Charles T. Kanganis,11784000.0
Jim Hanon,11703287.0
Jay Duplass,11699602.0
Dominique Othenin-Girard,11642254.0
Michael Winterbottom,11640241.0
Gary Halvorson,11634458.0
Albert Brooks,11614236.0
Chris Roberts,11576087.0
Chia-Liang Liu,11546543.0
Fred Durst,11508423.0
Roland Joffé,11468392.0
Robert Butler,11466088.0
Brian Klugman,11434867.0
Hugh Johnson,11227940.0
Uwe Boll,11217772.0
Emilio Estevez,11204499.0
Steve Gomer,11144518.0
Hyung-rae Shim,11119970.0
J.C. Chandor,11103173.0
Jon Kasdan,11043445.0
Niels Arden Oplev,10880926.0
Costa-Gavras,10830495.0
Fred Dekker,10696210.0
Bill Duke,10572742.0
Michael Patrick Jann,10561238.0
Damon Santostefano,10544143.0
Mark Piznarski,10494147.0
Mic Rodgers,10431220.0
Michael Martin,10305534.0
Troy Duffy,10269307.0
Wallace Wolodarsky,10198766.0
Louis Morneau,10149779.0
Mike Disa,10134754.0
Jonathan Kaplan,10114315.0
Hark Tsui,10076136.0
Victor Nunez,10056173.0
Takao Okawara,10037390.0
Benny Boom,10017041.0
Bob Saget,9975684.0
John Curran,9843714.0
Mamoru Hosoda,9628751.0
Elia Kazan,9600000.0
Jerry Jameson,9557668.0
François Girard,9473382.0
Josh Schwartz,9402410.0
John Waters,9338802.0
Kenneth Lonergan,9226770.0
Aaron Schneider,9176553.0
Tom Ford,9166863.0
Tina Gordon Chism,9123834.0
Mark Herman,9030581.0
Duncan Tucker,9013113.0
Russ Meyer,9000000.0
Benson Lee,8888355.0
Brian Dannelly,8786715.0
Ed Harris,8596914.0
Mort Nathan,8586376.0
Jeff Kanew,8508843.0
Jorma Taccone,8460995.0
Steve James,8362801.0
Darnell Martin,8134217.0
Alejandro Monteverde,8108247.0
Wil Shriner,8080116.0
Davis Guggenheim,8063859.0
George Sidney,8000000.0
George Stevens,8000000.0
William A. Fraker,8000000.0
Lexi Alexander,7948159.0
Nicholas Jarecki,7918283.0
Christopher Leitch,7888703.0
Patrick Stettner,7825820.0
Jason Bateman,7764027.0
István Szabó,7739049.0
Kar-Wai Wong,7722395.0
Gilles Paquet-Brenner,7691700.0
Michael Corrente,7690595.0
Jeff Lowell,7563670.0
Menno Meyjes,7486906.0
Tommy Lee Jones,7452158.0
Dave Borthwick,7382993.0
Kevin Tenney,7369373.0
Karan Johar,7294138.0
Don Coscarelli,7282851.0
Lars von Trier,7261566.0
John Cameron Mitchell,7235268.0
Werner Herzog,7182331.0
Mike Mills,7101387.0
Asghar Farhadi,7098492.0
Nnegest Likké,7059537.0
Sylvain Chomet,7002255.0
Scott Alexander,6982680.0
Roger Avary,6944715.0
Michael Dowse,6923891.0
Stuart Gordon,6870758.0
James Ponsoldt,6851969.0
Risa Bramon Garcia,6851636.0
Marcus Dunstan,6842058.0
Joon-ho Bong,6764441.0
J.S. Cardone,6755271.0
Chris Eyre,6719300.0
Tony Kaye,6712241.0
Raymond De Felitta,6670712.0
Lorene Scafaria,6619173.0
Debra Granik,6531491.0
Joshua Marston,6517198.0
Timothy Björklund,6491350.0
Jeb Stuart,6482195.0
Kevin Spacey,6471114.0
Cyrus Nowrasteh,6462576.0
Anne Fontaine,6426200.0
Vicky Jenson,6373693.0
Anna Boden,6350058.0
John Maybury,6301131.0
Émile Gaudreault,6239558.0
Caroline Link,6173485.0
Jay Levey,6157157.0
Scott Kalvert,6044618.0
Matthew Robbins,6000000.0
Ben Lewin,5997134.0
Brian Trenchard-Smith,5975374.0
Doug Lefler,5932060.0
Matt Piedmont,5895238.0
Charles S. Dutton,5881504.0
Craig Bolotin,5871603.0
Patricia Cardoso,5844929.0
Carlos Carrera,5709616.0
Dean Wright,5669081.0
Sngmoo Lee,5664251.0
Marcos Siega,5654777.0
Cédric Klapisch,5548136.0
Matt Maiellaro,5518918.0
Tamara Jenkins,5480318.0
Jean-Marie Poiré,5477007.0
Tony Maylam,5430822.0
John Michael McDonagh,5359774.0
Hal Needham,5333658.0
Robert Townsend,5228617.0
Tony Richardson,5100000.0
Fina Torres,5018450.0
Jonathan Glazer,5005883.0
Luca Guadagnino,5004648.0
Blair Hayes,5002310.0
Eugène Lourié,5000000.0
Blake Edwards,5000000.0
Olivier Assayas,4993383.0
Peter Kassovitz,4956401.0
Morgan Neville,4946250.0
Todd Lincoln,4930798.0
Jez Butterworth,4919896.0
Dewey Nicks,4814244.0
Todd Solondz,4771000.0
Bruce Paltrow,4734235.0
Mitch Davis,4720371.0
Deb Hagan,4693919.0
Tim Hunter,4600000.0
Zach Cregger,4542775.0
Vincent Paronnaud,4443403.0
Jonathan Teplitzky,4435083.0
Mark Tarlov,4394936.0
Brian Koppelman,4360548.0
Eric Bross,4356743.0
Hart Bochner,4350774.0
Allison Anders,4301331.0
Vondie Curtis-Hall,4273372.0
Steven Shainberg,4267651.0
Paul Gross,4239767.0
Marc Abraham,4234040.0
Ritesh Batra,4231500.0
Adam Rifkin,4193025.0
Russell Crowe,4190530.0
Damien O'Donnell,4170647.0
Peter M. Cohen,4142507.0
Charles Robert Carner,4131640.0
Rodrigo García,4124827.0
Gareth Evans,4105123.0
Chan-wook Park,4095234.0
Philip Saville,4068087.0
Wolfgang Becker,4063859.0
Randall Miller,4040588.0
Jeffrey W. Byrd,4006906.0
Rodman Flender,4002955.0
Sam Firstenberg,4000000.0
Jon Poll,3950294.0
Xavier Beauvois,3950029.0
Anthony Hickox,3902679.0
Miranda July,3885134.0
Brian Baugh,3773863.0
Michael Radford,3752725.0
Mabrouk El Mechri,3749061.0
Michael Haneke,3742664.0
Rick de Oliveira,3713002.0
Christophe Barratier,3629758.0
Max Joseph,3590010.0
Michael Cuesta,3587475.0
Floria Sigismondi,3571735.0
Tom Schulman,3559990.0
Mike Marvin,3500000.0
Jeremy Saulnier,3477142.0
Maggie Carey,3447339.0
Duke Johnson,3442820.0
Denys Arcand,3432342.0
Drake Doremus,3388210.0
John Putch,3333823.0
Louis C.K.,3293258.0
Jill Sprecher,3287435.0
Peter Medak,3275585.0
Paul Schrader,3211560.0
Susan Seidelman,3123749.0
Stephen Carpenter,3100650.0
Jon Stewart,3093491.0
Charlie Kaufman,3081925.0
François Ozon,3076425.0
Darren Stein,3071947.0
Harley Cokeliss,3060858.0
Patrice Leconte,3058380.0
Maggie Greenwald,3050934.0
Yash Chopra,3047539.0
Terence Davies,3041803.0
Daisy von Scherler Mayer,3034181.0
Mark Sandrich,3000000.0
Rowan Joffe,2963012.0
Julian Schnabel,2961991.0
Vincente Minnelli,2956000.0
Whit Stillman,2938208.0
Clark Gregg,2926565.0
David Boyd,2859955.0
Susanne Bier,2849142.0
David Nixon,2848578.0
Paolo Sorrentino,2835886.0
Harry Beaumont,2808000.0
William A. Graham,2807854.0
Jeff Franklin,2800000.0
Robert B. Weide,2775593.0
Vincent Gallo,2731665.0
Matty Rich,2712293.0
Dan Rush,2711210.0
Ryan Fleck,2694973.0
George Hickenlooper,2694236.0
Ron Fricke,2601847.0
Jamie Babbit,2581039.0
Courtney Hunt,2508841.0
Andy Garcia,2483955.0
Jean-Paul Rappeneau,2353728.0
Tom Brady,2331318.0
Fred Schepisi,2326407.0
Jim Goddard,2315683.0
Lloyd Bacon,2300000.0
Ari Folman,2283276.0
Thomas Vinterberg,2281854.0
Zal Batmanglij,2268296.0
Angelo Pizzo,2246000.0
George Gallo,2244208.0
Bille August,2221994.0
Billy Ray,2207975.0
Kevin Brodie,2148212.0
Wilson Yip,2126511.0
Emile Ardolino,2119994.0
Paul Mazursky,2104000.0
Antonia Bird,2060953.0
Barry W. Blaustein,2047570.0
David Atkins,2025238.0
Sterling Van Wagenen,2024854.0
James Toback,2006225.0
Nancy Walker,2000000.0
Noel Marshall,2000000.0
Maria Maggenti,1977544.0
Antonio Banderas,1954202.0
Michael Chapman,1953732.0
Mark Illsley,1943649.0
Tim Chambers,1889522.0
Daniel Barber,1818681.0
Peter Care,1779284.0
Greg Berlanti,1744858.0
Lynne Ramsay,1738692.0
Frank LaLoggia,1705139.0
Carlos Saura,1687311.0
Kenneth Johnson,1686429.0
Chris Paine,1677838.0
Eric Blakeney,1631839.0
Henry Alex Rubin,1523883.0
Ira Sachs,1506998.0
Michael Cimino,1500000.0
Marielle Heller,1477002.0
Derrick Borte,1474508.0
Jeff Burr,1400000.0
Mike Cahill,1316074.0
Greg Harrison,1306252.0
Alison Maclean,1282084.0
Jamie Travis,1243961.0
Abel Ferrara,1227324.0
Fabián Bielinsky,1221261.0
Jon Hess,1200000.0
Cristian Mungiu,1185783.0
Wayne Beach,1181197.0
David Sington,1134049.0
Siddiq Barmak,1127331.0
Kelly Reichardt,1112294.0
Je-kyu Kang,1110186.0
Gary Rogers,1098224.0
William Dear,1089445.0
Anand Tucker,1083801.0
Bob Rafelson,1075288.0
Nadine Labaki,1060591.0
James Cox,1056102.0
Christian Carion,1050445.0
Meiert Avis,1046166.0
Rodrigo Cortés,1028658.0
Jon Shear,1027119.0
Joe Cornish,1024175.0
Richard Kwietniowski,1011054.0
James Fargo,1000000.0
Dick Richards,1000000.0
Pawel Pawlikowski,992238.0
Marc Levin,982214.0
Robby Henson,978908.0
Fenton Bailey,950286.0
Majid Majidi,925402.0
Joseph Dorman,906666.0
Piyush Dinker Pandya,902835.0
Bob Odenkirk,900926.0
Salvador Carrasco,886410.0
Marc Forby,883887.0
David Webb Peoples,882290.0
Sylvio Tabet,869325.0
Dave McKean,864959.0
Carroll Ballard,860002.0
C. Jay Cox,851876.0
Katsuhiro Ôtomo,849550.0
Steve Buscemi,849306.0
Ruggero Deodato,800000.0
Franklin J. Schaffner,800000.0
Richard Dutcher,798341.0
Michael McGowan,795126.0
Michael Herz,792966.0
Robert Towne,777423.0
Mike van Diem,713413.0
Rebecca Miller,712294.0
Jason Eisener,703002.0
Tomm Moore,686383.0
Jafar Panahi,673780.0
Ol Parker,671240.0
Richard Williams,669276.0
Kaige Chen,668171.0
Ham Tran,638951.0
Laurent Tirard,634277.0
Jirí Menzel,617228.0
Hsiao-Hsien Hou,613556.0
Aki Kaurismäki,611709.0
Rich Cowan,609042.0
Jacob Aaron Estes,603943.0
Steve Taylor,594904.0
Jonathan Caouette,592014.0
Joshua Seftel,578527.0
David Jacobson,568695.0
Mars Callahan,562059.0
Martin Koolhoven,542860.0
Myles Berkowitz,536767.0
Huck Botko,535249.0
Michel Leclerc,513836.0
Marc F. Adler,511920.0
Joshua Oppenheimer,484221.0
Corey Yuen,480314.0
Andrew Haigh,469947.0
Finn Taylor,464655.0
Karen Moncrieff,464126.0
Chatrichalerm Yukol,454255.0
Shari Springer Berman,453079.0
Takeshi Kitano,447750.0
Jamal Hill,444044.0
Tom Kalin,434417.0
Morgan J. Freeman,433188.0
Shane Carruth,424760.0
Leslye Headland,418268.0
Jonas Åkerlund,410241.0
Henry Bean,406035.0
Ray Lawrence,399879.0
Rick Bieber,399611.0
Sally Potter,396035.0
Isabel Coixet,395592.0
Lena Dunham,389804.0
Spencer Susser,382946.0
Michael Landon Jr.,379643.0
Hans Canosa,379122.0
Anna Muylaert,375723.0
David Anspaugh,375474.0
David Duchovny,371081.0
Gregor Jordan,353743.0
Agnieszka Holland,352786.0
Dario Argento,349618.0
Gaspar Noé,336467.0
Keith Gordon,336456.0
Shane Meadows,327919.0
Matt Dillon,325491.0
Craig Zobel,318622.0
Udayan Prasad,317040.0
Petter Næss,313436.0
Marco Kreuzpaintner,309218.0
Alex Zamm,306715.0
Lucrecia Martel,304124.0
Stefan Schwartz,302204.0
Andrew Currie,298110.0
Eric Schaeffer,295468.0
Anthony Powell,287761.0
Efram Potelle,279282.0
Kevin Jordan,277233.0
Alex Gibney,274661.0
Akira Kurosawa,269061.0
Robert Lee King,265107.0
Jon Gunn,257210.0
André Øvredal,252652.0
Neema Barnette,243347.0
Gareth Edwards,237301.0
Richard E. Grant,233103.0
Lance Hool,229311.0
Dan Harris,228524.0
Mel Smith,226792.0
Guillaume Canet,224891.0
Robert Cary,220234.0
Bill Plympton,203134.0
Tim Heidecker,200803.0
Laurie Collyer,198407.0
Thaddeus O'Sullivan,196067.0
Lajos Koltai,195888.0
Jeff Garlin,194568.0
Carmen Marron,178739.0
Ti West,178160.0
Alan Rudolph,175370.0
Joshua Tickell,173783.0
Bruce Campbell,173066.0
Charles Chaplin,163245.0
Michel Orion Scott,155984.0
Fernando León de Aranoa,146402.0
Lucky McKee,145540.0
Ole Christian Madsen,145109.0
Paul Crowder,144431.0
Richard Raymond,143653.0
Deon Taylor,143000.0
Christopher Smith,136432.0
Henry Hobson,131175.0
Peter Ho-Sun Chan,128978.0
Li Zhang,127437.0
Andrew Wilson,127144.0
Lucio Fulci,126387.0
Alan Metter,126247.0
Nicholas Fackler,124720.0
Lance Mungia,124494.0
Daniel Algrant,121972.0
Chuan Lu,119922.0
Pete Jones,119841.0
Joey Lauren Adams,117560.0
James Dodson,115504.0
Tom Putnam,111300.0
Larry Blamire,110536.0
Rachel Perkins,110029.0
Marc Schölermann,108662.0
Agnieszka Wojtowicz-Vosloo,108229.0
Justin Kerrigan,104257.0
Goran Dukic,104077.0
Tony Jaa,102055.0
Adam Rapp,101228.0
Hue Rhodes,100669.0
Julio DePietro,100503.0
Reed Cowan,99851.0
Quentin Dupieux,98017.0
Johnny Remo,96734.0
Stefan Ruzowitzky,94252.0
Katherine Dieckmann,92900.0
Steven R. Monroe,92401.0
Barry Skolnick,92191.0
Giuseppe Tornatore,85433.0
Gérard Krawczyk,81525.0
Alex Rivera,75727.0
Ryûhei Kitamura,73548.0
Daniel Lee,72413.0
Michael D. Sellers,71904.0
Stéphane Aubier,71442.0
Michael Clancy,70527.0
Oren Moverman,66637.0
Christian Volckman,63260.0
Benjamin Dickinson,62480.0
E.L. Katz,59379.0
Kurt Voss,58936.0
David Schwimmer,58214.0
Panos Cosmatos,56129.0
Robert Moresco,53481.0
James Mottern,52166.0
Arie Posin,49526.0
Johnnie To,49413.0
Nick Tomnay,48430.0
Stephen Milburn Anderson,46451.0
Mary McGuckian,42880.0
Brandon Trost,40557.0
Jason Alexander,39852.0
Nacho Vigalondo,38108.0
Peter Stebbings,37606.0
Zak Penn,36830.0
S.R. Bindler,36497.0
Joe Swanberg,30084.0
Dito Montiel,28870.0
George Ratliff,27445.0
François Truffaut,26893.0
Fritz Lang,26435.0
Nick Love,26345.0
Ben Wheatley,26297.0
Eric Bress,23947.0
Ruairi Robinson,23838.0
Vicente Amorim,23091.0
Lloyd Kaufman,23000.0
Hitoshi Matsumoto,22770.0
Akiva Goldsman,22451.0
Jake Paltrow,20380.0
Karim Aïnouz,20262.0
Kat Coiro,20186.0
Dagur Kári,19959.0
Jonathan Kesselman,19539.0
Michael Meredith,19348.0
Jim Mickle,18469.0
Pascal Arnold,18435.0
Oliver Blackburn,18378.0
Klaus Menzel,16066.0
John Duigan,15593.0
Arthur Hiller,15447.0
Rich Christiano,15278.0
Sam Peckinpah,14873.0
Scott Ziehl,13493.0
Alex Smith,13134.0
Franck Khalfoun,12843.0
Hunter Richards,12667.0
Damian Nieman,10696.0
Eric Nicholas,10018.0
Orson Welles,7927.0
Ramaa Mosley,6643.0
Hal Haberman,6387.0
Scott Marshall,5561.0
Eddie O'Flaherty,5199.0
Ralph Ziman,4958.0
Jonathan Newman,4756.0
Álex de la Iglesia,3607.0
Bruce McDonald,3478.0
Adam Goldberg,2580.0
Bruce Dellis,2468.0
Paul Bunnell,2436.0
Alex Craig Mann,1332.0
Ricki Stern,1111.0
Frank Whaley,703.0
Ekachai Uekrongtham,162.0
