director_name,gross
Neill Blomkamp,240265620.0
John Landis,238410000.0
Mark Andrews,237282182.0
Stephen Herek,236390196.0
John Madden,236364967.0
Brad Silberling,235297169.0
Matthew Vaughn,235132974.0
Lasse Hallström,233160678.0
Angelina Jolie Pitt,232040274.0
David R. Ellis,231814993.0
Neil Burger,230714216.0
Darren Lynn Bousman,230585939.0
Roger Donaldson,230518521.0
Mark Dindal,228240829.0
Ben Affleck,228192683.0
Keenen Ivory Wayans,228074122.0
Tobe Hooper,227828535.0
Bruce Beresford,223328527.0
Hugh Wilson,222833135.0
Don Hall,222487711.0
Tarsem Singh,221994604.0
Victor Fleming,220857890.0
Wes Anderson,220077223.0
James L. Brooks,219894415.0
Nora Ephron,219871202.0
Luc Besson,219349473.0
Frank Darabont,218531517.0
Stephen Frears,218276705.0
Kirk De Micco,217271514.0
Malcolm D. Lee,216980749.0
Mark Osborne,216734173.0
James Bobin,216651439.0
Randal Kleiser,216153160.0
John Pasquin,216076434.0
Neil Jordan,216026797.0
Mimi Leder,215224298.0
James DeMonaco,214788010.0
Roger Michell,213789872.0
Lee Daniels,211705228.0
Bibo Bergeron,211564683.0
Mike Nichols,210893801.0
George P. Cosmatos,209075037.0
Jonathan Frakes,205872154.0
Thor Freudenthal,205583234.0
Kevin Smith,205538086.0
Nick Cassavetes,204183029.0
Tony Gilroy,202750534.0
Kenny Ortega,201915538.0
Eric Brevig,201871128.0
Nathan Greno,200807262.0
Tate Taylor,200219527.0
Will Gluck,200115480.0
Milos Forman,198180635.0
Ken Kwapis,196867623.0
Brian Robbins,196830826.0
Randall Wallace,194696074.0
Kevin Lima,194648436.0
Peter Chelsom,194135857.0
Elizabeth Banks,192265151.0
Luke Greenfield,191767419.0
Taylor Hackford,191130423.0
Les Mayfield,190873104.0
Harold Becker,189959639.0
Rich Moore,189412677.0
Sam Weisman,188628829.0
Thomas Carter,188419331.0
John Moore,188109652.0
Jesse Dylan,188090535.0
Robert Redford,187402264.0
Albert Hughes,185919323.0
David Bowers,185701204.0
Stephen Hopkins,185612013.0
Baltasar Kormákur,185309865.0
William Cottrell,184925485.0
Gary Trousdale,184154642.0
Wes Ball,184101193.0
Wayne Wang,183474473.0
David Silverman,183132370.0
George Clooney,181694587.0
Dominic Sena,181684823.0
Kirk Jones,181444109.0
Pierre Morel,180164086.0
Tom Dey,179233938.0
Andrzej Bartkowiak,179109500.0
Scott Hicks,177916532.0
Josh Trank,176800938.0
John Whitesell,175741905.0
Boaz Yakin,175420607.0
Peter Faiman,174635000.0
Peter Hyams,174185180.0
Phyllida Lloyd,173663646.0
Timur Bekmambetov,173572335.0
Sylvester Stallone,173250742.0
Michael Moore,171560187.0
David Lean,171322000.0
Gary Winick,170663373.0
Kevin Rodney Sullivan,170590639.0
Mick Jackson,169419832.0
Richard Lester,168715005.0
Joe Roth,167309575.0
Mikael Håfström,166154719.0
Sam Taylor-Johnson,166147885.0
Jennifer Yuh Nelson,165230261.0
Jon Amiel,164669328.0
Paul Tibbitt,162495848.0
Richard Linklater,161313963.0
Roger Spottiswoode,160903457.0
James Wong,160659684.0
Herbert Ross,160000000.0
John Hamburg,159224785.0
Jake Kasdan,159133818.0
Greg Mottola,158834611.0
Ruben Fleischer,158640928.0
Henry Joost,157892649.0
Walt Becker,156364192.0
Michel Gondry,155770239.0
Rupert Sanders,155111815.0
David Twohy,154353903.0
Rob Bowman,154211147.0
Nicholas Meyer,153788996.0
George Tillman Jr.,152963176.0
Clark Johnson,152922576.0
Lewis Gilbert,152600000.0
Terry Gilliam,151570771.0
Gary Fleder,151506691.0
Guy Hamilton,151300000.0
J.B. Rogers,150613528.0
Takashi Shimizu,149319710.0
Tom McGrath,148337537.0
Spike Jonze,147883036.0
Ben Falcone,147552910.0
Peter Hewitt,147395744.0
Michael Lembeck,147280134.0
Kathryn Bigelow,146589393.0
Florian Henckel von Donnersmarck,146546971.0
Barbra Streisand,146440027.0
David Dobkin,146401042.0
Josh Gordon,145911998.0
Alan J. Pakula,143645221.0
Alessandro Carloni,143523463.0
Bob Clark,141751281.0
Mike Gabriel,141600000.0
Jonathan Lynn,140708850.0
Daniel Myrick,140530114.0
Glenn Ficarra,140127358.0
Charles Martin Smith,138929089.0
Peter Lord,137845041.0
Eric Leighton,137748063.0
David S. Goyer,137673719.0
Stephen Norrington,136463665.0
Breck Eisner,135101920.0
Mark Steven Johnson,134055280.0
Paul Thomas Anderson,131316420.0
Warren Beatty,130264560.0
Paul Haggis,130244044.0
Howard Zieff,129647242.0
Stephen Daldry,129610440.0
Don Bluth,129142655.0
Jason Friedberg,128803031.0
Jay Russell,127798476.0
David McNally,127521261.0
Daniel Espinosa,127355790.0
Peter Farrelly,127175354.0
Mel Gibson,126959152.0
P.J. Hogan,126805112.0
Steve Hickner,126597121.0
Ronny Yu,126185101.0
Ryan Coogler,125810727.0
Michael Sucsy,125014030.0
Josh Boone,124868837.0
Jared Hess,124738949.0
James McTeigue,124607857.0
Jay Chandrasekhar,122930669.0
Luis Llosa,122920570.0
Marc Lawrence,122887883.0
Iain Softley,122825317.0
Richard LaGravenese,122610488.0
Penelope Spheeris,121697350.0
Tony Bancroft,120618403.0
John R. Leonetti,120191243.0
Cody Cameron,119793567.0
Hoyt Yeatman,119420252.0
Phil Alden Robinson,118471320.0
José Padilha,117222074.0
David Gordon Green,117059369.0
Mark Neveldine,115434792.0
Michael Caton-Jones,114795663.0
Denis Villeneuve,114695442.0
Byron Howard,114053579.0
John Erick Dowdle,113758254.0
Scott Cooper,113352817.0
Stanley Kubrick,112353051.0
Stephen Gaghan,112349943.0
William Brent Bell,112117515.0
Stuart Baird,111869879.0
Steve Pink,111133980.0
Burr Steers,110875581.0
Lawrence Guterman,110385797.0
David Koepp,110009619.0
John Cornell,109306210.0
Jim Sheridan,109268592.0
Peter Billingsley,109176215.0
John A. Davis,109054107.0
Jean-Jacques Annaud,108245920.0
Jon Avnet,108053123.0
Oren Peli,107917283.0
Frank Miller,107631297.0
Evan Goldberg,107575377.0
Clay Kaytis,107225164.0
Duncan Jones,106685574.0
Noam Murro,106369117.0
Norman Jewison,105788950.0
Carl Franklin,105657924.0
Terence Young,104467035.0
Bennett Miller,104353062.0
Jonathan Levine,103400972.0
Peter Ramsey,103400692.0
Jeannot Szwarc,102922376.0
Robert Stevenson,102300000.0
Irwin Winkler,101953173.0
Ron Shelton,101354726.0
Brenda Chapman,101217900.0
Alexandre Aja,101117513.0
Joel Coen,100911341.0
Andrew Niccol,100638459.0
Reginald Hudlin,100623057.0
Igor Kovalyov,100491683.0
Bo Welch,100446895.0
Alejandro Amenábar,99176030.0
Pete Travis,99069672.0
Ole Bornedal,98244638.0
Peter Cattaneo,98192469.0
Joe Carnahan,97628743.0
Rob Zombie,97420400.0
David Kellogg,97360069.0
Miguel Arteta,97298155.0
Charles Herman-Wurmfeld,96831312.0
Steve Miner,96786199.0
Gavin O'Connor,96526219.0
Lawrence Kasdan,96491837.0
Michael Patrick King,95328937.0
Patrick Lussier,95234950.0
Jon Hurwitz,94811446.0
Edgar Wright,94580593.0
John Schultz,94476214.0
Kimberly Peirce,92978933.0
Gregory Hoblit,92748354.0
John Frankenheimer,92634354.0
Morten Tyldum,92318204.0
Tom Vaughan,92131606.0
John Luessenhop,92078976.0
Tamra Davis,91656314.0
Joe Pytka,90443603.0
Etan Cohen,90353764.0
Callie Khouri,90255387.0
Rick Famuyiwa,90131409.0
Steven Quale,90129230.0
John Milius,89722612.0
Julie Anne Robinson,89338546.0
Robert Iscove,88869047.0
Russell Mulcahy,88603927.0
Jean-Pierre Jeunet,88478467.0
Paul McGuigan,87971773.0
Michael Ritchie,87937142.0
Joel Edgerton,87542582.0
Ryan Murphy,87328908.0
Ric Roman Waugh,85838192.0
Stephen Hillenburg,85416609.0
Trey Parker,85365146.0
Sylvain White,84884176.0
Tod Williams,84749884.0
Mike Judge,84710239.0
Norman Ferguson,84300000.0
Niki Caro,83566640.0
Jim Abrahams,83400000.0
David Soren,83024900.0
Alan Parker,82627204.0
Richard Attenborough,82541797.0
Gabor Csupo,82234139.0
Mathieu Kassovitz,82119766.0
Gil Kenan,81532703.0
Henry Selick,80689575.0
Roger Kumble,80228423.0
Howard Deutch,80212892.0
John Polson,79661590.0
John Badham,79568000.0
Barbet Schroeder,78692160.0
Michael Pressman,78656813.0
Harald Zwart,78450920.0
Charles Stone III,78198464.0
Alex Kendrick,78148363.0
Simon Wells,78064134.0
Luc Jacquet,77413017.0
Brad Furman,77298535.0
Dennie Gordon,77096564.0
Luis Mandoki,76843536.0
Stig Bergqvist,76501438.0
Jean-Marc Vallée,76165854.0
Paul King,76137505.0
David Carson,75668868.0
John Stockwell,75519906.0
Chris Koch,75417125.0
Stefen Fangmeier,75030163.0
Julie Taymor,74726773.0
Richard Curtis,74659658.0
Patricia Riggen,73882165.0
Victor Salva,73669003.0
Kevin Greutert,73340268.0
Kelly Asbury,73215310.0
Jim Gillespie,72219395.0
Amy Heckerling,72098562.0
Eli Roth,72008808.0
George Cukor,72000000.0
