actor_1_name,gross
Haley Joel Osment,189258098.0
Bruce Greenwood,189245019.0
Essie Davis,188811421.0
Clea DuVall,187495410.0
Nick Stahl,186735955.0
Adriana Caselotti,184925485.0
Patrick Fugit,184491759.0
Mary McDonnell,184208848.0
Ki Hong Lee,184101193.0
Eric Dane,183201170.0
Karen Allen,182618434.0
Zooey Deschanel,181844082.0
Martin Kove,181600000.0
Michael Jeter,181500091.0
Bam Margera,181492168.0
Olivia Newton-John,181360000.0
Bob Hoskins,180583004.0
John Witherspoon,180160295.0
Tim Blake Nelson,179671561.0
Javier Botet,173898395.0
Marlon Brando,171482000.0
Ethan Embry,170778354.0
Desmond Llewelyn,170100000.0
Michael Rapaport,169598973.0
Matt Lucas,169076745.0
Giancarlo Giannini,168368427.0
Margot Kidder,168200000.0
Sean Patrick Thomas,166113226.0
Rufus Sewell,165715334.0
Eleanor Parker,163214286.0
Tim Conway,162495848.0
Mark Addy,161904554.0
Chris Brown,161791781.0
Aldis Hodge,161029270.0
Billy Burke,160542036.0
Sarah Roemer,160100342.0
Odeya Rush,160043480.0
Madeline Carroll,158383657.0
Toby Jones,156465418.0
Quvenzhané Wallis,155363529.0
Dean Stockwell,154018779.0
Heather O'Rourke,153200000.0
Stockard Channing,152293687.0
Charlize Theron,151498011.0
Radha Mitchell,151206074.0
Mike Vogel,150627765.0
Laura-Leigh,150368971.0
Sanaa Lathan,150282161.0
Craig Roberts,150056505.0
LL Cool J,149478255.0
Charlie Hunnam,149166930.0
Harold Ramis,148734225.0
Lupe Ontiveros,148688074.0
Lauren Holly,148588856.0
Erika Christensen,148577195.0
Phoebe Cates,148170000.0
Delroy Lindo,147905873.0
Jay Hernandez,146814878.0
Omar Epps,146107198.0
Roger Rees,145721356.0
Michael Imperioli,144741062.0
Rene Russo,144731527.0
Jason Flemyng,143417634.0
Matt Bomer,143097394.0
Miguel Ferrer,142926410.0
Dominic Cooper,142907866.0
Mahadeo Shivraj,142614158.0
Miriam Margolyes,141840060.0
Anil Kapoor,141319195.0
Heather Donahue,140530114.0
Don Johnson,140092020.0
Tzi Ma,140080850.0
Natascha McElhone,138811383.0
Tom Welling,138614544.0
Mackenzie Foy,137458714.0
Michael Kelly,137437329.0
Julie Walters,136449951.0
Lili Taylor,136448821.0
Bruce McGill,136289742.0
Frank Welker,135781921.0
James D'Arcy,135741249.0
John Michael Higgins,134496011.0
Jeanne Tripplehorn,133994057.0
Minnie Driver,133745297.0
Angus T. Jones,132541238.0
Kevin Rankin,132122995.0
Seychelle Gabriel,131564731.0
Olivia Munn,130997840.0
Sofia Boutella,130468626.0
Francesca Capaldi,130174897.0
David Oyelowo,129746073.0
Luenell,128505958.0
Bob Balaban,128300000.0
Chen Chang,128067808.0
Jeff Bennett,127706877.0
Joel Courtney,126975169.0
Colin Salmon,126930660.0
Jerry Ferrara,125468116.0
Vincent Schiavelli,125332007.0
Suraj Sharma,124976634.0
Emmanuelle Vaugier,124964875.0
Loretta Devine,124807145.0
Michael O'Neill,124107476.0
Daniel Roebuck,123830892.0
Larry Miller,123423449.0
Jerry Stiller,123179834.0
David Carradine,122035783.0
Taylor Lautner,121747073.0
Cicely Tyson,121441074.0
Kelli Garner,120745325.0
Sophia Myles,120570879.0
Julie Christie,120551070.0
Sandra Ellis Lafferty,119518352.0
Osama bin Laden,119078393.0
Bojana Novakovic,118931492.0
Viggo Mortensen,118382056.0
Olivia Wilde,116929267.0
Joe Lo Truglio,115903984.0
Robert Forster,115742969.0
Sharlto Copley,115646235.0
Adam Baldwin,115457325.0
Romany Malco,115371361.0
Stephen Root,115232456.0
Imelda Staunton,114236922.0
Alison Brie,113635028.0
Donald Pleasence,113551178.0
Norman Reedus,113393959.0
Chris Noth,113280368.0
Raven-Symoné,112950721.0
Richard Tyson,112929373.0
Scatman Crothers,112000000.0
Harold Perrineau,110661318.0
Jon Heder,110636376.0
Louis Lombardi,110584646.0
Amy Schumer,110008260.0
Regina Hall,110000082.0
Christopher Lambert,109630350.0
Julian Sands,109206639.0
Frank Grillo,108120110.0
Boris Kodjoe,107977218.0
Micah Sloat,107917283.0
Jason Patric,107714483.0
Greg Grunberg,107518241.0
Matt Frewer,107503316.0
Andrew Garfield,107019400.0
Candice Bergen,106807667.0
Izabella Scorupco,106635996.0
Connie Nielsen,106030978.0
Art Hindle,105500000.0
Zachary Gordon,105213451.0
Victor Wong,105017620.0
Deborah Kara Unger,104131296.0
Johanna Braddy,104007828.0
Tom Skerritt,103906708.0
Dane Cook,103764221.0
Charlie Korsmo,103738726.0
David Arquette,103465941.0
Daniel von Bargen,102678089.0
Katharine Ross,102380804.0
Bokeem Woodbine,102358162.0
Ed Wynn,102300000.0
Eric Idle,102084758.0
Jackson Nicoll,101978840.0
F. Murray Abraham,101785017.0
Bill Duke,101774441.0
Kristin Scott Thomas,101692637.0
Ethan Suplee,101598405.0
Bailee Madison,101307416.0
Dolly Parton,100620167.0
Michael Emerson,100509789.0
Sean Hayes,100446895.0
Rob Riggle,100186876.0
Virginia Madsen,98902303.0
Jim Belushi,98867673.0
Mark Margolis,98757837.0
Kyra Sedgwick,98386491.0
Steve Guttenberg,97300000.0
Fionnula Flanagan,96471845.0
Gunnar Hansen,96052256.0
Frankie Muniz,95622550.0
Linda Cardellini,95323508.0
Julie Benz,95207488.0
Michael Nouri,94900000.0
Carmen Perez,93952276.0
Mary Lynn Rajskub,93816164.0
Lena Olin,93469845.0
Carol Ann Susi,93375151.0
Dorian Missick,93307796.0
Dan Byrd,93208724.0
Woody Allen,93142719.0
Natasha Lyonne,92865098.0
Bruno Kirby,92823600.0
Bradley Whitford,92115211.0
Matthew Perry,91624165.0
Li Gong,91505776.0
Gary Dourdan,91158241.0
Josh Charles,90775144.0
Lisa Ann Walter,90741522.0
Beau Mirchoff,90703745.0
Lucas Grabeel,90556401.0
John Doman,90135191.0
Adam Garcia,90104432.0
Michael Wincott,89345526.0
Eartha Kitt,89296573.0
Kelly Rutherford,89138076.0
Snoop Dogg,88200225.0
Will Patton,87704396.0
Mike Starr,86383279.0
Leslie Bibb,86005185.0
Tony Goldwyn,84915327.0
Sprague Grayden,84749884.0
Jeremy Irvine,84504796.0
Mel Blanc,84300000.0
Darcy Donavan,84136909.0
Ken Howard,83429088.0
Peter Graves,83400000.0
Katharine Isabelle,82163317.0
Miranda Cosgrove,81257845.0
James Coburn,81165565.0
John Amos,81152746.0
Dylan Walsh,81022333.0
Leighton Meester,80698331.0
Treat Williams,80276912.0
Alice Greczyn,80270227.0
Daryl Sabara,80245349.0
Ana de la Reguera,80197993.0
Emily Osment,79566871.0
Quentin Tarantino,79222016.0
Kevin Nash,78656813.0
Archie Panjabi,77736010.0
Harry Lennix,76837944.0
Topher Grace,75889322.0
Marsha Thomason,75817994.0
Seth MacFarlane,75754670.0
Todd Stashwick,75604320.0
Mhairi Calvey,75600000.0
Danneel Ackles,75568608.0
Miko Hughes,75559360.0
Dylan Baker,75389481.0
Jennifer Saunders,75280058.0
William Smith,75148373.0
Abbie Cornish,75103149.0
Estella Warren,74978872.0
Faizon Love,74864529.0
George Carlin,74787599.0
Shannon Elizabeth,74721600.0
Britney Spears,74377334.0
Natasha Henstridge,74149752.0
Yaphet Kotto,73522105.0
Liam Aiken,73431127.0
Diedrich Bader,73354869.0
Usher Raymond,73000942.0
Rob Paulsen,72601713.0
Curtiss Cook,72515360.0
Wes Studi,72455275.0
Sean Young,72217000.0
Hope Davis,72167039.0
Jeremy Brett,72000000.0
Drew Powell,71975611.0
Misha Gabriel Hamilton,71844424.0
Frank Langella,71645930.0
Noel Gugliemi,71519230.0
David Lyons,71346930.0
Nathan Lane,71227464.0
D.B. Woodside,71038190.0
Jacob Tremblay,71017784.0
Jason Alexander,70836296.0
Ryan Guzman,70442892.0
Sally Kirkland,70405498.0
Ray Winstone,70085814.0
Alex Veadov,70011073.0
Brian Dennehy,70000986.0
Eddie Marsan,68925666.0
Leonard Roberts,68912300.0
Doug E. Doug,68856263.0
Judith Barsi,68855859.0
Nicholas Lea,68473360.0
