Drama,1893
Comedy,1461
Thriller,1117
Action,959
Romance,859
Adventure,781
Crime,709
Fantasy,507
Sci-Fi,496
Family,442
Horror,392
Mystery,384
Biography,239
Animation,196
War,152
Music,151
History,149
Sport,148
Musical,96
Western,59
Documentary,45
Film-Noir,1
